Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,37774,CSS,"CSS, JavaScript, HTML"
servo/servo,2012-02-08T19:07:25Z,37734,Rust,"Rust, HTML, Python, WebIDL, JavaScript"
anthropics/prompt-eng-interactive-tutorial,2024-04-02T15:52:00Z,37711,Jupyter Notebook,"Jupyter Notebook, Python"
denysdovhan/wtfjs,2017-07-14T15:42:12Z,37674,JavaScript,"JavaScript, Shell"
Wei-Shaw/sub2api,2025-12-18T02:26:18Z,37666,Go,"Go, Vue, TypeScript, Shell, PLpgSQL"
TencentARC/GFPGAN,2021-03-19T06:18:20Z,37660,Python,Python
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,2023-03-27T09:59:10Z,37649,Python,"Python, C++, PowerShell, CMake, C"
NervJS/taro,2018-04-08T09:32:26Z,37643,TypeScript,"TypeScript, JavaScript, SCSS, Rust, HTML"
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,37590,HTML,"HTML, Jupyter Notebook, Python"
shiyu-coder/Kronos,2025-07-01T02:54:32Z,37571,Python,"Python, HTML, Shell"
karpathy/LLM101n,2024-05-27T00:23:38Z,37506,Sem linguagem,Sem linguagem
TriliumNext/Trilium,2017-05-23T00:30:20Z,37502,TypeScript,"TypeScript, Fluent, CSS, HTML, JavaScript"
aquasecurity/trivy,2019-04-11T01:01:07Z,37500,Go,"Go, Go Template, Shell, Mustache, Yacc"
alibaba/arthas,2018-08-29T17:15:57Z,37495,Java,"Java, JavaScript, Vue, TypeScript, HTML"
directus/directus,2012-12-12T01:35:36Z,37468,TypeScript,"TypeScript, Vue, JavaScript, SCSS, Liquid"
alebcay/awesome-shell,2014-07-07T01:57:42Z,37463,Sem linguagem,Sem linguagem
PKUanonym/REKCARC-TSC-UHT,2019-04-05T03:31:23Z,37432,HTML,"HTML, C, C++, Verilog, Jupyter Notebook"
stanfordnlp/dspy,2023-01-09T21:01:51Z,37417,Python,"Python, JavaScript"
LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,37407,Python,"Python, TypeScript, JavaScript, Shell, Mako"
exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,37362,TeX,"TeX, Python, Shell, Makefile"
pbatard/rufus,2011-11-19T19:12:05Z,37351,C,"C, C++, Makefile, C#, Shell"
eugenp/tutorials,2013-04-29T18:26:36Z,37325,Java,"Java, HTML, JavaScript, TypeScript, CSS"
openai/gym,2016-04-27T14:59:16Z,37240,Python,"Python, Dockerfile, Shell"
0voice/interview_internal_reference,2019-06-10T06:54:19Z,37236,Python,Python
myshell-ai/OpenVoice,2023-11-29T12:17:01Z,37159,Python,"Python, Jupyter Notebook"
SagerNet/sing-box,2022-06-30T13:27:22Z,37132,Go,"Go, Shell, Objective-C, Makefile, C"
IceWhaleTech/CasaOS,2021-09-26T02:33:09Z,37098,Go,"Go, Shell, HTML, Makefile"
huggingface/pytorch-image-models,2019-02-02T05:51:12Z,37075,Python,"Python, MDX, Shell"
markedjs/marked,2011-07-24T13:15:51Z,37065,JavaScript,"JavaScript, TypeScript, HTML"
lfnovo/open-notebook,2024-10-21T17:58:46Z,37062,TypeScript,"TypeScript, Python, Shell, Jinja, CSS"
satwikkansal/wtfpython,2017-08-28T20:22:19Z,37059,Python,Python
patchy631/ai-engineering-hub,2024-10-21T10:43:24Z,37033,Jupyter Notebook,"Jupyter Notebook, Python, TypeScript, CSS, HTML"
fastify/fastify,2016-09-28T19:10:14Z,37006,JavaScript,"JavaScript, TypeScript, Shell"
mouredev/Hello-Python,2022-08-03T17:14:53Z,36995,Python,Python
Textualize/textual,2021-04-08T15:24:47Z,36975,Python,"Python, Tree-sitter Query, Jinja, TypeScript, Makefile"
AobingJava/JavaFamily,2019-11-12T04:26:18Z,36974,Sem linguagem,Sem linguagem
babysor/MockingBird,2021-08-07T03:53:39Z,36909,Python,"Python, Shell, Cython, Dockerfile"
soxoj/maigret,2020-06-27T14:16:42Z,36886,Python,"Python, HTML, Go Template, Batchfile, Makefile"
CopilotKit/CopilotKit,2023-06-19T04:08:31Z,36847,TypeScript,"TypeScript, MDX, Python, Shell, C#"
shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,36756,Kotlin,"Kotlin, Shell, Python, Makefile, HTML"
musistudio/claude-code-router,2025-02-25T02:17:18Z,36728,TypeScript,"TypeScript, JavaScript, CSS, HTML, Shell"
Dokploy/dokploy,2024-04-19T07:49:30Z,36718,TypeScript,"TypeScript, Go, CSS, Dockerfile, JavaScript"
ashishpatel26/500-AI-Agents-Projects,2024-12-20T13:37:15Z,36696,Python,"Python, JavaScript, CSS, HTML"
veggiemonk/awesome-docker,2014-09-21T17:01:48Z,36668,Sem linguagem,Sem linguagem
google-ai-edge/mediapipe,2019-06-13T19:16:41Z,36664,C++,"C++, Python, Starlark, Java, Objective-C"
ZuodaoTech/everyone-can-use-english,2019-03-15T16:33:53Z,36662,TypeScript,"TypeScript, Metal, Jupyter Notebook, HTML, JavaScript"
microsoft/Data-Science-For-Beginners,2021-03-03T16:30:15Z,36654,Jupyter Notebook,"Jupyter Notebook, Vue, HTML, JavaScript"
date-fns/date-fns,2014-10-06T10:24:22Z,36629,TypeScript,"TypeScript, JavaScript, Shell, Makefile, CSS"
typeorm/typeorm,2016-02-29T07:41:14Z,36629,TypeScript,"TypeScript, JavaScript"
jaywcjlove/linux-command,2016-11-12T15:44:26Z,36615,Markdown,"Markdown, HTML, JavaScript, Stylus, Go Template"
mpv-player/mpv,2012-10-13T08:08:44Z,36594,C,"C, Lua, Swift, Meson, Python"
1Panel-dev/1Panel,2022-07-19T15:44:52Z,36575,Go,"Go, Vue, Shell, Makefile, JavaScript"
khoj-ai/khoj,2021-08-16T01:48:44Z,36559,Python,"Python, TypeScript, CSS, HTML, Emacs Lisp"
blader/humanizer,2026-01-18T05:30:15Z,36557,Python,Python
inkonchain/docs,2024-05-07T16:49:36Z,36524,MDX,"MDX, TypeScript, JavaScript, CSS, Dockerfile"
xinntao/Real-ESRGAN,2021-07-19T03:23:30Z,36518,Python,Python
songquanpeng/one-api,2023-04-22T12:39:24Z,36482,JavaScript,"JavaScript, Go, SCSS, CSS, HTML"
nextcloud/server,2016-06-02T07:44:14Z,36478,PHP,"PHP, JavaScript, TypeScript, Vue, Gherkin"
inkonchain/node,2024-05-13T23:20:40Z,36477,Shell,Shell
hankcs/HanLP,2014-10-09T06:36:16Z,36477,Python,"Python, Jupyter Notebook, Java"
doocs/leetcode,2018-09-16T14:03:03Z,36476,Java,"Java, C++, Python, TypeScript, Go"
glanceapp/glance,2024-04-27T18:55:38Z,36459,Go,"Go, HTML, JavaScript, CSS, Go Template"
HKUDS/DeepTutor,2025-12-28T15:35:54Z,36453,Python,"Python, TypeScript, CSS, JavaScript, Dockerfile"
open-guides/og-aws,2016-07-13T17:30:16Z,36442,Shell,Shell
inkonchain/ink-kit,2024-11-04T16:32:17Z,36384,TypeScript,"TypeScript, CSS, JavaScript, MDX, Dockerfile"
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,36383,Sem linguagem,Sem linguagem
tinyhumansai/openhuman,2026-02-18T20:01:27Z,36380,Rust,"Rust, TypeScript, JavaScript, Shell, CSS"
GorvGoyl/Clone-Wars,2020-12-02T11:10:16Z,36376,Sem linguagem,Sem linguagem
formulahendry/955.WLB,2019-03-27T23:53:37Z,36357,Sem linguagem,Sem linguagem
SheetJS/sheetjs,2012-12-03T19:25:52Z,36322,Sem linguagem,Sem linguagem
reworkd/AgentGPT,2023-04-07T02:29:19Z,36307,TypeScript,"TypeScript, Python, JavaScript, MDX, CSS"
microsoft/playwright-mcp,2025-03-21T17:48:36Z,36280,TypeScript,"TypeScript, JavaScript, Dockerfile"
keycloak/keycloak,2013-07-02T13:38:51Z,36279,Java,"Java, TypeScript, FreeMarker, JavaScript, Shell"
ItzCrazyKns/Vane,2024-04-09T10:51:32Z,36252,TypeScript,"TypeScript, Dockerfile, CSS, JavaScript, Slim"
PDFMathTranslate/PDFMathTranslate,2024-09-06T06:56:03Z,36226,Python,"Python, PowerShell, Dockerfile, Batchfile, Standard ML"
AdguardTeam/AdGuardHome,2016-07-06T10:31:47Z,36222,TypeScript,"TypeScript, Go, CSS, Shell, JavaScript"
jax-ml/jax,2018-10-25T21:25:02Z,36179,Python,"Python, C++, Starlark, Shell, Jupyter Notebook"
firecracker-microvm/firecracker,2017-10-19T06:18:47Z,36146,Rust,"Rust, Python, Shell, C, Dockerfile"
hashicorp/vault,2015-02-25T00:15:59Z,36141,Go,"Go, JavaScript, TypeScript, Handlebars, HCL"
pnpm/pnpm,2016-01-28T07:40:43Z,36139,Rust,"Rust, TypeScript, JavaScript, Shell, Just"
geekxh/hello-algorithm,2020-05-29T05:47:09Z,36091,Java,Java
carbon-app/carbon,2017-06-16T02:50:28Z,36090,JavaScript,"JavaScript, Shell"
lerna/lerna,2015-12-04T09:36:55Z,36050,TypeScript,"TypeScript, JavaScript, Shell, CSS, Batchfile"
Yuan1z0825/nature-skills,2026-04-24T03:11:46Z,36046,Python,"Python, JavaScript, HTML, Shell, TeX"
slatedocs/slate,2013-09-13T22:15:24Z,36039,Sem linguagem,Sem linguagem
zsh-users/zsh-autosuggestions,2013-10-26T16:09:37Z,35996,Shell,"Shell, Ruby, Makefile, Dockerfile"
Crosstalk-Solutions/project-nomad,2025-06-24T15:35:01Z,35994,TypeScript,"TypeScript, Shell, Python, Dockerfile, CSS"
chatwoot/chatwoot,2019-08-14T06:50:51Z,35986,Ruby,"Ruby, Vue, JavaScript, HTML, Liquid"
medusajs/medusa,2020-01-18T13:39:04Z,35907,TypeScript,"TypeScript, JavaScript, Shell, Handlebars, CSS"
filebrowser/filebrowser,2015-09-11T21:21:58Z,35906,Go,"Go, Vue, TypeScript, CSS, HTML"
wailsapp/wails,2018-12-15T23:14:06Z,35891,Go,"Go, HTML, TypeScript, CSS, JavaScript"
solidjs/solid,2018-04-24T16:36:27Z,35868,TypeScript,"TypeScript, JavaScript, CSS"
OpenBMB/VoxCPM,2025-09-16T03:41:49Z,35865,Python,Python
XingangPan/DragGAN,2023-05-18T10:08:02Z,35767,Python,"Python, Cuda, C++, Dockerfile, Batchfile"
junegunn/vim-plug,2013-09-10T14:58:51Z,35749,Vim Script,"Vim Script, Shell"
searxng/searxng,2021-04-12T15:18:15Z,35732,Python,"Python, Shell, HTML, Less, TypeScript"
alan2207/bulletproof-react,2021-05-30T14:47:16Z,35720,TypeScript,"TypeScript, JavaScript, CSS, Handlebars, HTML"
airbnb/lottie-android,2016-10-06T22:42:42Z,35701,Java,"Java, Kotlin, Shell, JavaScript"
jondot/awesome-react-native,2015-03-26T19:58:06Z,35691,JavaScript,"JavaScript, Makefile, CSS"
koajs/koa,2013-07-20T18:53:45Z,35687,JavaScript,JavaScript
opentofu/manifesto,2023-08-13T16:17:24Z,35675,HTML,"HTML, CSS, JavaScript"
permissionlesstech/bitchat,2025-07-04T14:34:38Z,35623,Swift,"Swift, Shell, Python, Rust, C"
gchq/CyberChef,2016-11-28T10:34:07Z,35610,JavaScript,"JavaScript, HTML, CSS, Dockerfile"
restic/restic,2014-04-27T14:07:58Z,35594,Go,"Go, Shell, Go Template, Dockerfile, Makefile"
microsoft/graphrag,2024-03-27T17:57:52Z,35580,Python,"Python, Jupyter Notebook, TypeScript, Dockerfile, Shell"
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,2015-03-28T16:52:40Z,35574,JavaScript,JavaScript
continuedev/continue,2023-05-24T03:39:39Z,35542,TypeScript,"TypeScript, JavaScript, Kotlin, Python, Rust"
refinedev/refine,2021-01-20T12:01:32Z,35533,TypeScript,"TypeScript, JavaScript, CSS, HTML, Handlebars"
drizzle-team/drizzle-orm,2021-06-24T09:03:05Z,35519,TypeScript,"TypeScript, JavaScript"
jqlang/jq,2012-07-18T19:57:25Z,35471,C,"C, M4, Shell, Yacc, jq"
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,35409,JavaScript,"JavaScript, HTML, CSS"
casey/just,2016-06-17T06:08:08Z,35370,Rust,"Rust, Shell, Just, Nix, CSS"
tailscale/tailscale,2020-01-31T22:00:03Z,35355,Go,"Go, C, TypeScript, Shell, Swift"
kuchin/awesome-cto,2016-12-16T19:22:18Z,35342,Sem linguagem,Sem linguagem
nativefier/nativefier,2015-07-05T05:56:42Z,35285,TypeScript,"TypeScript, JavaScript, Shell, Dockerfile, CSS"
typicode/husky,2014-06-23T12:14:21Z,35277,JavaScript,"JavaScript, Shell"
geekcomputers/Python,2011-11-30T09:04:08Z,35263,Python,"Python, Jupyter Notebook, Cuda, Tcl, HTML"
VectifyAI/PageIndex,2025-04-01T10:53:54Z,35249,Python,Python
sahat/hackathon-starter,2013-11-13T17:24:12Z,35245,JavaScript,"JavaScript, Pug, HTML, SCSS, Shell"
blakeblackshear/frigate,2019-01-26T13:52:38Z,35222,TypeScript,"TypeScript, Python, Shell, CSS, Dockerfile"
fxsjy/jieba,2012-09-29T07:52:01Z,35123,Python,"Python, OpenEdge ABL"
geekan/HowToLiveLonger,2022-04-16T04:15:18Z,35102,Sem linguagem,Sem linguagem
DayuanJiang/next-ai-draw-io,2025-03-23T15:03:48Z,35061,TypeScript,"TypeScript, JavaScript, CSS, HTML, Dockerfile"
utmapp/UTM,2019-04-12T16:09:24Z,35055,Swift,"Swift, Objective-C, Shell, C, Python"
hehonghui/awesome-english-ebooks,2022-06-28T02:45:44Z,35041,CSS,CSS
netty/netty,2010-11-09T09:22:21Z,35039,Java,"Java, C, HTML, Shell, JavaScript"
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,35037,Go,"Go, HTML, JavaScript, CSS, Makefile"
bumptech/glide,2013-07-08T22:52:33Z,35026,Java,"Java, Kotlin, Shell, CSS"
sorrycc/awesome-javascript,2014-07-01T15:59:02Z,35015,Sem linguagem,Sem linguagem
zellij-org/zellij,2020-09-01T14:04:28Z,34998,Rust,"Rust, JavaScript, CSS, Shell, HTML"
awesome-foss/awesome-sysadmin,2014-12-23T08:41:22Z,34928,Sem linguagem,Sem linguagem
laravel/framework,2013-01-10T21:27:28Z,34874,PHP,"PHP, Blade, Shell, CSS, JavaScript"
gitroomhq/postiz-app,2023-07-08T17:24:22Z,34866,TypeScript,"TypeScript, JavaScript, CSS, SCSS, Shell"
esengine/DeepSeek-Reasonix,2026-04-21T08:27:02Z,34857,Go,"Go, TypeScript, CSS, Python, JavaScript"
facebookresearch/detectron2,2019-09-05T21:30:20Z,34675,Python,"Python, Cuda, C++, Shell, Dockerfile"
qishibo/AnotherRedisDesktopManager,2019-01-08T06:01:56Z,34643,JavaScript,"JavaScript, SCSS, HTML"
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,34588,C++,"C++, CMake, Python, Dockerfile"
BVLC/caffe,2013-09-12T18:39:48Z,34560,C++,"C++, Python, Cuda, CMake, MATLAB"
lissy93/web-check,2023-06-25T14:32:11Z,34541,TypeScript,"TypeScript, JavaScript, Astro, SCSS, HTML"
ocrmypdf/OCRmyPDF,2013-12-20T08:26:28Z,34500,Python,"Python, Shell, Dockerfile"
v2fly/v2ray-core,2019-04-15T10:05:54Z,34491,Go,"Go, Shell, Assembly, Dockerfile, Makefile"
kovidgoyal/kitty,2016-10-16T14:48:28Z,34474,Python,"Python, C, Go, Objective-C, Slang"
nothings/stb,2014-05-25T16:51:23Z,34442,C,"C, C++, Shell, Makefile, Batchfile"
anthropics/financial-services,2026-02-23T19:24:50Z,34404,Python,"Python, Shell, PowerShell, JavaScript"
raysan5/raylib,2013-10-24T15:46:04Z,34397,C,"C, Lua, Makefile, Zig, CMake"
derailed/k9s,2019-01-25T18:46:02Z,34390,Go,"Go, Makefile, Dockerfile, Shell"
SeleniumHQ/selenium,2013-01-14T21:40:56Z,34381,Java,"Java, C#, C++, JavaScript, Python"
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,34373,C++,"C++, Cuda, CMake, Shell, HCL"
huggingface/diffusers,2022-05-30T16:04:02Z,34344,Python,"Python, Dockerfile, Makefile"
xitu/gold-miner,2015-11-04T03:29:13Z,34329,Sem linguagem,Sem linguagem
jaredpalmer/formik,2017-06-14T19:50:59Z,34323,TypeScript,"TypeScript, JavaScript, CSS, Shell"
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,34290,Sem linguagem,Sem linguagem
python-poetry/poetry,2018-02-28T15:23:47Z,34288,Python,"Python, HTML"
TheAlgorithms/JavaScript,2017-07-13T06:12:33Z,34217,JavaScript,"JavaScript, TypeScript, Shell"
openai/CLIP,2020-12-16T11:24:42Z,34196,Jupyter Notebook,"Jupyter Notebook, Python"
balena-io/etcher,2015-10-27T16:53:23Z,34192,TypeScript,"TypeScript, JavaScript, CSS, Shell, HTML"
backstage/backstage,2020-01-24T22:39:49Z,34182,TypeScript,"TypeScript, MDX, JavaScript, CSS, Handlebars"
swc-project/swc,2017-12-22T11:40:14Z,34177,Rust,"Rust, JavaScript, TypeScript, Shell, SCSS"
ehang-io/nps,2018-11-04T13:22:51Z,34168,Go,"Go, Shell, Makefile"
seaweedfs/seaweedfs,2014-07-14T16:41:37Z,34144,Go,"Go, Rust, templ, Java, Shell"
zenorocha/clipboard.js,2015-09-18T23:04:55Z,34122,JavaScript,"JavaScript, TypeScript, Shell"
lightpanda-io/browser,2023-02-07T15:19:34Z,34113,Zig,"Zig, HTML, Rust, JavaScript, Makefile"
testerSunshine/12306,2017-05-17T12:23:40Z,34093,Python,"Python, Shell, Dockerfile"
aristocratos/btop,2021-05-06T18:40:21Z,34092,C++,"C++, C, Makefile, CMake"
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,34082,Java,"Java, HTML, TSQL, PLpgSQL, Lua"
agentscope-ai/QwenPaw,2026-02-24T03:42:56Z,34078,Python,"Python, TypeScript, Less, Rust, JavaScript"
lllyasviel/ControlNet,2023-02-01T02:43:30Z,34076,Python,"Python, Shell"
zxing/zxing,2011-10-12T14:07:27Z,34070,Java,"Java, HTML, CSS"
qdrant/qdrant,2020-05-30T21:37:01Z,34062,Rust,"Rust, Python, Shell, C, Nix"
OpenBMB/ChatDev,2023-08-28T02:18:13Z,34049,Python,"Python, Vue, JavaScript, CSS, Dockerfile"
fish-shell/fish-shell,2012-05-10T03:00:55Z,34034,Rust,"Rust, Shell, Python, HTML, JavaScript"
chenfei-wu/TaskMatrix,2023-03-02T09:04:28Z,34010,Python,"Python, HTML, Dockerfile"
MonitorControl/MonitorControl,2017-09-16T21:13:40Z,33995,Swift,"Swift, Objective-C"
atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,33949,JavaScript,"JavaScript, HTML"
NginxProxyManager/nginx-proxy-manager,2017-12-20T23:01:16Z,33908,TypeScript,"TypeScript, JavaScript, Shell, Dockerfile, CSS"
K-Dense-AI/scientific-agent-skills,2025-10-19T20:54:15Z,33904,Python,"Python, TeX, HTML, BibTeX Style, Shell"
pcottle/learnGitBranching,2012-08-13T22:36:09Z,33900,JavaScript,"JavaScript, HTML, CSS, Makefile, Dockerfile"
lib-pku/libpku,2018-11-22T13:33:06Z,33869,TeX,"TeX, JavaScript"
carbon-language/carbon-lang,2020-04-27T21:45:16Z,33860,C++,"C++, Starlark, Python, Carbon, JavaScript"
explosion/spaCy,2014-07-03T15:15:40Z,33831,Python,"Python, MDX, Cython, JavaScript, Sass"
TabbyML/tabby,2023-03-16T09:18:01Z,33828,Rust,"Rust, Python, HTML, Tree-sitter Query, TypeScript"
halfrost/LeetCode-Go,2017-07-18T00:06:14Z,33792,Go,"Go, JavaScript, Python, CSS, Shell"
k3s-io/k3s,2018-05-31T01:37:46Z,33763,Go,"Go, Shell, HCL, Go Template, Ruby"
SerenityOS/serenity,2018-12-02T19:28:41Z,33762,C++,"C++, JavaScript, HTML, Shell, CMake"
mli/paper-reading,2021-10-22T06:34:51Z,33708,Sem linguagem,Sem linguagem
anthropics/claude-plugins-official,2025-11-20T18:36:20Z,33695,Python,"Python, HTML, JavaScript, TypeScript, Shell"
Pythagora-io/gpt-pilot,2023-08-16T11:56:07Z,33694,Python,"Python, TypeScript, JavaScript, Smarty, CSS"
alibaba/easyexcel,2018-02-06T03:14:08Z,33671,Java,Java
valinet/ExplorerPatcher,2021-08-09T14:17:24Z,33661,C,"C, C++, Batchfile, Assembly"
anoma/anoma,2021-02-02T10:00:16Z,33659,Elixir,"Elixir, Shell, Makefile"
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,33636,Java,"Java, Kotlin, Groovy, Shell"
binwiederhier/ntfy,2021-10-23T19:25:32Z,33613,Go,"Go, JavaScript, Makefile, Shell, HTML"
bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,33609,Ruby,Ruby
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,33562,Python,"Python, Shell"
apache/kafka,2011-08-15T18:06:16Z,33554,Java,"Java, Scala, Python, Shell, Batchfile"
tinygrad/tinygrad,2020-10-18T16:23:12Z,33466,Python,"Python, C, Cuda, C++, Metal"
XX-net/XX-Net,2015-01-15T09:35:51Z,33451,Python,"Python, HTML, CSS, JavaScript, Shell"
microsoft/WSL,2016-04-06T17:32:56Z,33442,C++,"C++, C, C#, CMake, PowerShell"
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,33395,Objective-C,"Objective-C, Swift, Ruby, C, Shell"
langfuse/langfuse,2023-05-18T17:47:09Z,33389,TypeScript,"TypeScript, JavaScript, Shell, CSS, Python"
nicolargo/glances,2011-12-04T08:49:15Z,33379,Python,"Python, Vue, Shell, Makefile, Jupyter Notebook"
lutzroeder/netron,2010-12-26T12:53:43Z,33367,JavaScript,"JavaScript, Python, Shell, HTML, CSS"
MetaCubeX/mihomo,2021-05-20T11:06:33Z,33360,Python,Python
mckaywrigley/chatbot-ui,2023-03-11T14:53:14Z,33337,TypeScript,"TypeScript, PLpgSQL, JavaScript, CSS, Shell"
google/comprehensive-rust,2022-12-21T15:17:24Z,33316,Rust,"Rust, JavaScript, TypeScript, Handlebars, Starlark"
remix-run/remix,2020-10-26T19:57:28Z,33310,TypeScript,"TypeScript, JavaScript, CSS, Shell, HTML"
motiondivision/motion,2018-11-16T09:48:38Z,33285,TypeScript,"TypeScript, HTML, JavaScript, CSS, Makefile"
alibaba/nacos,2018-06-15T06:49:27Z,33280,Java,"Java, TypeScript, SCSS, JavaScript, PLpgSQL"
zeromicro/go-zero,2020-08-07T15:37:57Z,33264,Go,"Go, Shell, Go Template, ANTLR, TypeScript"
dgtlmoon/changedetection.io,2021-01-27T16:03:30Z,33248,Python,"Python, HTML, JavaScript, SCSS, Shell"
waydabber/BetterDisplay,2021-10-24T08:32:56Z,33233,Sem linguagem,Sem linguagem
certbot/certbot,2014-11-12T02:52:20Z,33204,Python,"Python, Shell, Batchfile, Makefile, Augeas"
bilibili/ijkplayer,2013-06-03T04:12:04Z,33196,C,"C, Objective-C, Java, Shell, Makefile"
linshenkx/prompt-optimizer,2025-02-12T06:06:49Z,33194,TypeScript,"TypeScript, Vue, JavaScript, CSS, HTML"
qier222/YesPlayMusic,2020-10-09T10:04:21Z,33171,Vue,"Vue, JavaScript, CSS, SCSS, Nix"
vbenjs/vue-vben-admin,2020-07-11T02:29:21Z,33170,Vue,"Vue, TypeScript, CSS, JavaScript, HTML"
cursor/cursor,2023-03-12T00:19:42Z,33140,Sem linguagem,Sem linguagem
pear-devs/pear-desktop,2019-04-19T18:14:40Z,33120,TypeScript,"TypeScript, JavaScript, CSS, HTML"
Leey21/awesome-ai-research-writing,2026-01-30T07:59:30Z,33113,Sem linguagem,Sem linguagem
datawhalechina/happy-llm,2024-05-28T03:22:50Z,33066,Jupyter Notebook,"Jupyter Notebook, Python"
immutable-js/immutable-js,2014-07-02T06:02:29Z,33039,TypeScript,"TypeScript, MDX, JavaScript, CSS, Shell"
binarywang/WxJava,2016-01-06T08:24:05Z,33031,Java,"Java, Shell"
ibraheemdev/modern-unix,2021-01-12T00:50:14Z,33018,Sem linguagem,Sem linguagem
adobe/brackets,2011-12-07T21:14:40Z,33013,JavaScript,"JavaScript, HTML, Less, CSS, PHP"
tokio-rs/tokio,2016-09-09T22:31:36Z,32955,Rust,Rust
gulpjs/gulp,2013-07-04T05:26:06Z,32950,JavaScript,JavaScript
FreeCAD/FreeCAD,2012-09-09T08:25:02Z,32947,C++,"C++, Python, C, CMake, NSIS"
0xAX/linux-insides,2015-01-03T18:44:57Z,32938,Python,"Python, Makefile, Dockerfile"
